x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.8,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.206004057
0.8,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.144935484
0.8,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.130488585
0.8,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.127414991
0.8,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.028735755
0.8,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.329616295
0.8,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.601357873
0.9,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.481074656
0.9,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.328054769
0.9,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.200309646
0.9,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.118515231
0.9,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.120441496
0.9,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.152824481
0.9,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.101556825
0.9,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.053475054
0.9,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.304234049
0.1,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.052213311
0.1,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.308687439
0.1,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.090865677
0.1,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.028193355
0.1,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.043003608
0.1,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.004353762
0.1,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.122403553
0.1,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.357750621
0.1,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.808447437
0.2,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.549700754
